run,size,ratio,sampling_time_s,total_time_s
1,10000,1.0520756768799897,1.9340673000000002,7.699322
2,10000,1.0300221080594114,1.8008085999999999,11.0729228
3,10000,1.0653029535062073,1.8398813,5.0423262
4,10000,1.030024738135114,1.0375230999999996,5.439195
5,10000,1.037233164135572,1.0316715999999992,5.4386966999999995
6,10000,1.0233033091204964,1.0312594000000015,7.714646200000001
7,10000,1.0316788986158052,0.9914392999999997,4.461444899999998
8,10000,1.0260730602181036,1.106634099999999,8.782779499999998
9,10000,1.0165942287913976,1.1137726999999984,10.7636675
10,10000,1.023943306043286,1.0090955999999984,5.0416405
11,10000,1.056194506908945,1.059591300000001,3.7846948000000005
12,10000,1.0308196680049386,1.0635735000000004,11.031395100000001
13,10000,1.0381382922363642,1.120234,5.475955299999999
14,10000,1.0255788898117748,1.0341202000000003,10.8882731
15,10000,1.0227065079823776,1.0866459000000006,9.525675900000003
16,10000,1.0280697342807583,1.0309182999999962,7.893474400000002
17,10000,1.0279655050253265,1.0682304000000045,6.307822100000003
18,10000,1.0463323213634996,1.1332418999999945,4.3730633999999995
19,10000,1.0246358100421715,1.0875527999999974,5.7664689
20,10000,1.0402143157962447,1.1174864000000042,4.665813700000001
21,10000,1.0457844759264714,1.1325383000000002,6.195687800000002
1,11000,1.0325181350776635,1.072425900000006,10.243622300000006
2,11000,1.0482969479824242,0.9893201999999945,5.696248999999995
3,11000,1.03687062979279,1.1237263000000013,5.661588800000004
4,11000,1.0410179633184986,1.1593026000000037,8.592243500000002
5,11000,1.0439904169018088,1.153435200000004,5.6226092000000065
6,11000,1.0417084191237327,1.1082787999999937,5.500859599999998
7,11000,1.018164402391103,1.1499792999999983,4.555267299999997
8,11000,1.0281379315449781,1.074340399999997,6.4621198999999905
9,11000,1.0235542333014989,1.0467288999999909,5.5633828999999935
10,11000,1.0264237441532962,1.1356784999999974,5.181177399999996
11,11000,1.0416167638220348,1.0138091999999972,4.996802400000007
12,11000,1.0385119934336002,0.9823195000000027,5.6751330999999965
13,11000,1.0405132609587442,1.1067812000000004,7.771394900000004
14,11000,1.0231059141912147,1.1336799999999982,6.2605997
15,11000,1.0376127919714329,1.0754543999999981,5.915550699999997
16,11000,1.0368413311959839,1.1077147999999966,4.4918440999999945
17,11000,1.029306903350096,1.0986268999999993,6.676996700000004
18,11000,1.0340664473925232,1.1103363999999942,5.397244000000001
19,11000,1.0299320493358237,1.1168122999999923,3.971494100000001
20,11000,1.0163808098692682,1.0536506999999915,6.79309769999999
21,11000,1.0340691704625622,1.0653220999999888,4.9859577
1,12000,1.1087317893715105,1.0491591999999912,3.6749401999999947
2,12000,1.0477665759900907,1.0968632999999954,5.926114900000002
3,12000,1.0343099697806035,1.124327000000008,7.489322999999999
4,12000,1.024109827752027,1.0074201999999985,11.255063100000001
5,12000,1.0374651788324578,1.1452382999999884,7.394701399999988
6,12000,1.0276530874541536,1.2373515999999967,7.4162634999999995
7,12000,1.0313631765041462,1.0896649000000025,5.261357900000007
8,12000,1.055908724076135,1.085907000000006,4.871760300000005
9,12000,1.042108282737722,1.0422311000000093,6.744795800000006
10,12000,1.0313240529473622,1.0691434000000015,5.943740599999998
11,12000,1.0281036557746435,1.1416446000000064,5.588746299999997
12,12000,1.027125419286467,1.184263300000012,8.253476400000011
13,12000,1.0265823154956975,1.0949023999999952,8.207811300000003
14,12000,1.034564852063892,1.1056169000000011,7.900909999999996
15,12000,1.0292296356702304,1.1272532999999925,7.629133199999984
16,12000,1.0592672615241796,1.1059329999999932,6.1865688999999975
17,12000,1.0223799368443078,1.0476665999999852,6.8189510999999925
18,12000,1.0190976686201378,1.0382610000000057,5.853176300000001
19,12000,1.0194135953363523,0.9849480999999969,9.271895600000022
20,12000,1.0280132492715202,1.1553111999999999,11.151884199999984
21,12000,1.0194525994148467,1.1188941999999997,8.613180900000003
1,13000,1.0427094779593784,1.1006768999999963,7.065959699999979
2,13000,1.0453577219284127,1.0920207000000062,7.309223000000003
3,13000,1.0372154984344535,1.0572367000000042,5.588296899999989
4,13000,1.0527580993188577,1.12063950000001,4.408968299999998
5,13000,1.0279227397666129,1.1358205999999882,6.682276900000005
6,13000,1.031679837505182,1.1314443999999924,5.472442000000001
7,13000,1.0217012319528034,1.1446483,11.611037699999997
8,13000,1.0278101157720234,1.0739196000000106,6.579964799999999
9,13000,1.0660858268905842,1.0865454000000057,4.517077400000005
10,13000,1.0330759805391483,1.212890200000004,5.799923199999995
11,13000,1.0458586711180557,1.1197152000000017,8.89937260000002
12,13000,1.0428903209514666,1.1067237999999975,6.748467599999998
13,13000,1.0256945162373727,1.2071095000000014,16.535298799999993
14,13000,1.0228116457003298,1.138270800000015,7.415617400000002
15,13000,1.122250864185258,1.178437400000007,3.6884178000000247
16,13000,1.028469707142375,1.0989578999999878,7.002761499999991
17,13000,1.0267951077803863,1.105782199999993,11.152678699999996
18,13000,1.0285893624962228,1.0855686000000162,5.507211699999999
19,13000,1.0239915984606658,1.0901806999999906,6.671985500000005
20,13000,1.0301250307209027,1.086905800000011,6.6185811
21,13000,1.017181349254647,1.0195116999999811,6.299121200000002
1,14000,1.0530639788674667,1.0820605000000114,6.243809100000021
2,14000,1.0338441390460875,1.0721670000000074,5.735220400000003
3,14000,1.0390087262693701,1.1121004999999968,7.314059100000009
4,14000,1.0593259302361289,1.089615600000002,4.952837200000005
5,14000,1.0174161296269284,1.0385484000000247,8.959131600000006
6,14000,1.0166148589635722,1.0915053999999884,7.254421799999989
7,14000,1.0175523090494183,0.9827342000000101,5.770436100000012
8,14000,1.0246844428967794,1.0500214000000199,8.342649100000017
9,14000,1.0275674809712314,1.1034734000000128,16.507391299999995
10,14000,1.0219967305535007,1.0248319000000095,8.431432900000004
11,14000,1.1258667000145375,1.1188003999999978,3.409563999999989
12,14000,1.017862470963726,1.1211821999999927,6.928746399999994
13,14000,1.027820627758974,1.0957748000000151,7.100785999999999
14,14000,1.0320987303538514,1.1283246000000133,7.908747300000016
15,14000,1.0510706266777348,1.0134836000000007,5.574872999999997
16,14000,1.0336068639089728,1.0978165000000217,7.37755180000002
17,14000,1.0155301767654519,1.1126194999999939,14.58319209999999
18,14000,1.0260689523756437,1.029873699999996,4.9263851000000045
19,14000,1.0197241773913037,1.1713100999999995,8.127881599999995
20,14000,1.0365136230730996,1.1091412000000105,5.322417099999996
21,14000,1.027003917711183,1.1202906000000041,8.1158571
1,15000,1.0282365007579544,1.0801698999999871,8.521625600000021
2,15000,1.0285745297004343,1.1687160999999833,5.634562100000011
3,15000,1.0235876894711835,1.0277002999999922,15.164255999999966
4,15000,1.0518520318932612,1.0413002000000233,7.147751400000004
5,15000,1.0483846593588921,1.1145693999999935,5.419343999999967
6,15000,1.0211624103356443,1.0616282000000297,9.111334700000043
7,15000,1.03637265751352,1.0954589000000396,8.754847300000051
8,15000,1.0309274232395411,1.1413802000000146,8.666242100000034
9,15000,1.0324379816439528,1.1175809000000072,5.76627110000004
10,15000,1.0249875830776094,1.059653400000002,15.075718300000005
11,15000,1.0251677208410344,1.1132745000000455,8.8819254
12,15000,1.0323586844680643,1.0325065000000109,5.996495799999991
13,15000,1.0237296846810682,1.1890252999999689,7.133143099999984
14,15000,1.051843504370918,1.0945839999999976,5.2156848000000195
15,15000,1.0232684935642873,1.1027973000000202,10.472673499999985
16,15000,1.0235067926811863,1.1324316999999837,12.959914800000035
17,15000,1.032499337781251,1.1585249000000317,8.711544200000048
18,15000,1.0309916486908608,1.1491545999999744,9.109601399999974
19,15000,1.0245949523062976,1.1735601999999972,7.148817699999995
20,15000,1.0146583802135092,1.1079796999999871,7.985991399999989
21,15000,1.0266359520357164,1.130835300000001,6.441950500000019
1,16000,1.0184247861367832,1.169196799999952,13.397600299999965
2,16000,1.0236731488435593,1.0946460999999772,11.000061700000003
3,16000,1.0169592817380002,1.046878500000048,12.247314200000005
4,16000,1.024762035699474,1.1546349999999848,6.8470777
5,16000,1.0515167312294356,1.1872568000000001,5.356789900000024
6,16000,1.0295633454160191,1.3013988000000154,6.974320500000033
7,16000,1.0214521072029181,1.350918799999988,10.652222600000016
8,16000,1.0464429949809002,1.2941728999999782,11.811151499999994
9,16000,1.0187274147254661,1.2532998000000362,7.784578399999987
10,16000,1.0196094503443185,1.137943699999994,6.265555199999994
11,16000,1.025126736720819,1.1331306000000154,6.189467100000002
12,16000,1.029490504286953,1.0355394999999703,8.424754299999961
13,16000,1.0374398046581392,1.107932500000004,7.027041300000008
14,16000,1.0214371019285866,1.06720660000002,6.270059200000048
15,16000,1.0477789159417072,0.9993775000000369,13.6094698
16,16000,1.0327519661294096,1.1114021000000207,5.333732499999996
17,16000,1.02188063659202,1.0466025999999715,6.310805500000015
18,16000,1.0256777329577496,1.090345999999954,13.652031299999976
19,16000,1.020313646599367,1.05867470000004,10.93065150000001
20,16000,1.0280843885172608,1.0258099999999786,6.206193799999994
21,16000,1.0179020140154402,1.0146494999999618,12.22695189999996
1,17000,1.022991644046601,1.4263664000000063,17.980026599999974
2,17000,1.033933735546483,1.01696179999999,7.807943599999987
3,17000,1.0254606008534828,1.0566533999999592,7.744542699999954
4,17000,1.0293410086332468,1.115018799999973,6.669786399999964
5,17000,1.0252435057005946,0.9751191999999946,10.744668900000022
6,17000,1.0251706232033329,0.879722500000014,10.619449700000018
7,17000,1.0242254983913937,0.9510471000000393,21.179061100000013
8,17000,1.0257042032302708,1.1261031999999886,9.604305599999975
9,17000,1.0196181260685144,0.9965854999999806,11.252615100000014
10,17000,1.0165253025825525,1.070756700000004,9.077222000000006
11,17000,1.014734458960632,1.0751460999999836,8.41937089999999
12,17000,1.0184378192806622,0.998016199999995,10.757298600000013
13,17000,1.018007037929668,1.085786100000007,7.932971199999997
14,17000,1.0212140854933347,1.0262765999999601,12.392566799999997
15,17000,1.1033625499930235,1.0971941000000243,6.845421699999974
16,17000,1.028072126506329,1.1508180000000152,6.6862806999999975
17,17000,1.0248919797741929,1.1049529000000007,11.86342860000002
18,17000,1.0220544144781394,1.1358371000000034,7.572273800000005
19,17000,1.0232688592517347,1.0189413999999601,10.0111895
20,17000,1.0222907020206022,1.1834016000000247,7.682369800000004
21,17000,1.0185265191670536,1.1771389999999542,10.788907599999959
1,18000,1.0247349956871679,1.239958300000012,7.083246000000031
2,18000,1.016649058371557,1.1136313000000087,13.156868000000031
3,18000,1.0288716102910398,1.1296600000000012,9.873209099999997
4,18000,1.029209858544217,1.3385916000000293,8.27884240000003
5,18000,1.022546612067005,0.9689418000000387,9.946098900000038
6,18000,1.0283329401703116,0.9093293000000244,6.514610000000005
7,18000,1.0228442355629594,0.915566100000035,14.440318400000024
8,18000,1.0468291392253486,0.9940556999999899,5.802159700000004
9,18000,1.0414359866104246,1.3835583000000042,8.832261999999957
10,18000,1.047355268408434,1.32408479999998,10.088265100000001
11,18000,1.0367374154879445,1.271327499999984,5.307262699999967
12,18000,1.026969879802093,1.1720909000000006,14.679413699999998
13,18000,1.0268771311209042,1.2190787000000114,7.584102400000006
14,18000,1.0433625371839723,1.134265199999959,10.6272199
15,18000,1.0290282619073159,1.0818107000000055,10.229275799999982
16,18000,1.0336255420459155,1.0576335000000086,8.248442399999988
17,18000,1.0254851252856445,1.050582200000008,9.597372899999982
18,18000,1.0438935572795922,1.1699064000000021,6.676562700000034
19,18000,1.030683563723812,0.9193194999999719,7.005160899999964
20,18000,1.0339055468665441,0.9310308000000305,6.230289500000026
21,18000,1.0222836730575597,0.9055036000000314,6.668756300000041
1,19000,1.0169940084739792,0.8928788000000054,14.13213189999999
2,19000,1.0283710109785262,0.9232857999999737,8.00990569999999
3,19000,1.0164436091336972,0.9722580999999764,10.531043299999965
4,19000,1.0219715686226816,0.9030248999999912,13.491720600000008
5,19000,1.019827600950381,0.9020117000000027,10.600830599999995
6,19000,1.0349228272299895,0.941666199999986,7.8143526000000065
7,19000,1.0127679527018936,0.9167869000000337,14.829228100000023
8,19000,1.0293060249202444,0.8677378999999519,7.58862309999995
9,19000,1.0212923860510785,0.9540531999999757,11.269593399999962
10,19000,1.0172081356205067,0.9402319999999236,28.37217099999998
11,19000,1.0290575084137095,0.9456486999999925,7.177154900000005
12,19000,1.021868662736706,0.9833929000000126,6.452134200000046
13,19000,1.0195993231003306,0.8915501000000177,10.52527770000006
14,19000,1.0211755587947966,0.8891757000000098,9.972726500000022
15,19000,1.0331665023477827,0.9862471999999798,10.966784999999959
